采购项目名称	预算金额	行政区域	网址
拖船进坞维修项目公开招标公告	￥45.505380万元（人民币）	滨海新区	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181109_11074454.htm
中华人民共和国宝山海事局2019年船舶作业与维护管理项目外包公开招标公告	￥350.000000万元（人民币）	上海市	http://www.ccgp.gov.cn/cggg/zygg/gkzb/201811/t20181116_11124841.htm
浙江海事局台州船舶溢油应急设备库工程第1包：溢油围控设备公开招标公告	￥218.000000万元（人民币）	浙江省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181029_10987767.htm
2018年海洋渔船通导与安全装备采购公开招标公告	￥155.000000万元（人民币）	黄骅市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181225_11417019.htm
农业部南海区渔政局珠海渔政站3005艇、3007艇上排维修保养采购项目公开招标公告	￥40.000000万元（人民币）	香洲区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180929_10802824.htm
中国渔政35001检修项目招标公告	￥248.000000万元（人民币）	福建省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181018_10914210.htm
沧州黄骅港航务工程有限公司船舶投保项目公开招标公告	￥150.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181206_11285411.htm
广州港务局新塘分局公务船船员劳务采购公开招标公告	￥70.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181123_11179952.htm
北京市颐和园管理处颐和园游览船购置公开招标公告	￥3422.700000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181109_11073421.htm
中华人民共和国大连海事局大连海事局海事公务船艇社会化服务采购公开招标公告	￥450.000000万元（人民币）	辽宁省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201811/t20181116_11122454.htm
北京市玉渊潭公园管理处消防艇购置公开招标公告	￥65.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201809/t20180929_10802696.htm
上海市航务管理处船舶射频识别设备维护采购公开招标公告	￥9.000000万元（人民币）	市辖区	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181225_11415231.htm
浙江海事局台州船舶溢油应急设备库工程第2包：配套设备公开招标公告	￥269.000000万元（人民币）	浙江省	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181029_10987769.htm
广东省渔政总队湛江支队湛江市2015、2016年度渔船油价补贴工作审计服务项目公开招标公告	￥20.000000万元（人民币）	湛江市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201810/t20181018_10912493.htm
中国海警局北海分局筹备组中国海警1112舰、1116舰、1303舰、1304舰、1103舰船舶维修公开招标公告	￥560.020000万元（人民币）	烟台市	http://www.ccgp.gov.cn/cggg/dfgg/gkzb/201812/t20181205_11280698.htm
